Code,Meaning,Comments
"23061","BLACKFOOT, IDAHO",""
"112&0","BLAINE, EVERSON, FERNDALE, SUMAS, LYNDEN, OR NOOKSACK, WASHINGTON",""
"11510","BOTHELL, REDMOND, KIRKLAND, DUVALL, ISSAQUAH, NORTH BEND, PACIFIC, SKYKOMISH, SNOQUALMIE, TUKWILA,  OR TOLT, WASHINGTON",""
"13713","BRAWLEY, OR EL CENTRO, CALIFORNIA",""
"13021","BREA, LAGUNA BEACH, NEWPORT BEACH, OR HUNTINGTON BEACH, CALIFORNIA",""
"11243","BREMERTON, WASHINGTON",""
"11360","BREWSTER, CONCONULLY, MOLSON, NESPELEM, OKANOGAN, OROVILLE, PATEROS, RIVERSIDE, TONASKET, WINTHROP OR TWISP,  WASHINGTON",""
"11440","BRIDGEPORT, EAST WENATCHEE, MANSFIELD, ROCK ISLAND, OR WATERVILLE, WASHINGTON",""
"11520","BUCKLEY, EATONVILLE, ORTING, MILTON, RUSTON, FIR CREST, WILKESON, SUMNER, ROY, SOUTH PRAIRIE OR STEILACOOM,  WASHINGTON",""
"112-0","BUCODA, YELM, TENINO OR TUMWATER, WASHINGTON",""
"13853","BURLINGAME, SAN MATEO OR REDWOOD CITY, CALIFORNIA",""
"11280","BURLINGTON, CONCRETE, LA CONNER, LYMAN OR HAMILTON, WASHINGTON",""
"23142","CALDWELL, IDAHO",""
"13712","CALEXICO, CALIFORNIA",""
"13710","CALIPATRIA, HOLTVILLE,  IMPERIAL OR WESTMORLAND, CALIFORNIA",""
"13150","CALISTOGA OR ST. HELENA, CALIFORNIA",""
"11211","CAMAS, WASHINGTON",""
"5900&","CANSDALE, PENNSYLVANIA",""
"13411","CARMEL-BY-THE-SEA, CALIFORNIA",""
"11320","CASHMERE, CHELAN, LAKESIDE, OR LEAVENWORTH, WASHINGTON",""
"11220","CASTLE ROCK, KALAMA, OR WOODLAND, WASHINGTON",""
"11150","CATHLAMET, WASHINGTON",""
"11252","CENTRALIA, WASHINGTON",""
"13570","CERES, NEWMAN, RIVERBANK, OR PATTERSON, CALIFORNIA",""
"26240","CHANDLER, GILBERT, TOLLESON, WICKENBURG OR BUCKEYE, ARIZONA",""
"11251","CHEHALIS, WASHINGTON",""
"11610","CHENEY, DEER PARK, FAIRFIELD, LATAH, MEDICAL LAKE, MILLWOOD, ROCKFORD, SPANGLE, OR WAVERLY, WASHINGTON ",""
"11380","CHEWELAH, COLVILLE, KETTLE FALLS, MARCUS, NORTHPORT OR SPRINGDALE, WASHINGTON",""
"41165","CHICAGO, ILLINOIS",""
"13312","CHICO, CALIFORNIA",""
"13731","CHINO OR NEEDLES, CALIFORNIA",""
"13540","CHOWCHILLA, CALIFORNIA",""
"13&12","CHULA VISTA OR CORONADO, CALIFORNIA",""
"13011","CLAREMONT, COVINA, EL MONTE, GLENDORA, EL SEGUNDO, LA VERNE, SIERRA MADRE OR SIGNAL HILL, CALIFORNIA",""
"11421","CLARKSTON, WASHINGTON",""
"47953","CLAYTON, MISSOURI",""
"11340","CLE ELUM, KITTITAS, ROSLYN OR SOUTH CLE ELUM, WASHINGTON",""
"26231","CLIFTON, ARIZONA",""
"47422","CLINTON, MISSOURI",""
"21053","CLOVIS, NEW MEXICO",""
"13512","COALINGA, CALIFORNIA",""
"11401","COLFAX OR PULLMAN, WASHINGTON",""
"13290","COLFAX, LINCOLN OR ROCKLIN,  CALIFORNIA",""
"13732","COLTON OR UPLAND, CALIFORNIA",""
"11450","CONNELL OR KAHLOTUS, WASHINGTON",""
"13350","CORNING OR TEHAMA, CALIFORNIA ",""
"13722","CORONA, CALIFORNIA",""
"11120","COSMOPOLIS, ELMA, MONTESANO, OAKVILLE OR WESTPORT, WASHINGTON",""
"11470","COULEE CITY, EPHRATA, HARTLINE, KRUPP, MOSES LAKE, QUINCY, SOAP LAKE, WARDEN OR WILSON CREEK, WASHINGTON ",""
"11230","COUPEVILLE, LANGLEY, OR OAK HARBOR, WASHINGTON",""
"13110","CRESCENT CITY, CALIFORNIA",""
"11370","CUSICK, IONE, METALINE FALLS OR NEWPORT, WASHINGTON ",""
"13852","DALY CITY, SAN BRUNO,  OR SOUTH SAN FRANCISCO, CALIFORNIA",""
"13360","DAVIS OR WINTERS, CALIFORNIA",""
"11431","DAYTON, WASHINGTON",""
"13521","DELANO OR TAFT, CALIFORNIA",""
"13581","DINUBA, LINDSAY, OR EXETER, CALIFORNIA",""
"132&0","DORRIS, DUNSMUIR, ETNA, FORT JONES, MONTAGUE, MOUNT SHASTA, TULELAKE OR YREKA CITY, CALIFORNIA",""
"26212","DOUGLAS OR BISBEE, ARIZONA",""
"26230","DUNCAN, ARIZONA",""
"13&10","EL CAJON, CALIFORNIA",""
"11342","ELLENSBURG, WASHINGTON",""
"57024","ELMIRA, NEW YORK",""
"13720","ELSINORE, INDIO, BLYTHE, PERRIS OR SAN JACINTO, CALIFORNIA",""
"13811","EMERYVILLE OR LIVERMORE, CALIFORNIA",""
"11511","ENUMCLAW, KENT, AUBURN OR RENTON, WASHINGTON",""
"13&11","ESCONDIDO, LA MESA OR OCEANSIDE, CALIFORNIA",""
"13123","EUREKA, CALIFORNIA",""
"11204","EVERETT, WASHINGTON",""
"13621","FILLMORE, CALIFORNIA",""
"13510","FIREBAUGH, FOWLER, PARLIER, SAN JOAQUIN, CLOVIS OR KINGSBURG,  CALIFORNIA",""
"26122","FLAGSTAFF, ARIZONA",""
"26260","FLORENCE OR CASA GRANDE, ARIZONA",""
"13141","FORT BRAGG OR UKIAH, CALIFORNIA",""
"22620","FORT UPTON, COLORADO",""
"13514","FRESNO, CALIFORNIA",""
"11270","FRIDAY HARBOR, WASHINGTON",""
"27020","GARLAND OR HONEYVILLE, UTAH",""
"13-11","GILROY, MOUNTAIN VIEW, SUNNYVILLE, OR LOS GATOS, CALIFORNIA",""
"25030","GLENBROCK, NEVADA",""
"26241","GLENDALE OR TEMPE, ARIZONA",""
"26132","GLOBE, ARIZONA",""
"11471","GRAND COULEE, WASHINGTON",""
"13282","GRASS VALLEY, CALIFORNIA",""
"22623","GREELEY, COLORADO",""
"13532","HANFORD, CALIFORNIA",""
"11410","HATTON, LIND, OTHELLO, RITZVILLE, OR WASHTUCNA, WASHINGTON",""
"13812","HAYWARD, OR PIEDMONT, CALIFORNIA",""
"13161","HEALDSBURG, CALIFORNIA",""
"24253","HELENA, MONTANA",""
"26150","HOLBROOK, ARIZONA",""
"13421","HOLLISTER, CALIFORNIA",""
"11123","HOQUIAM OR ABERDEEN,  WASHINGTON",""
"13210","HORNITOS OR SONORA, CALIFORNIA",""
"23103","IDAHO FALLS, IDAHO",""
"13910","ISLETON, CALIFORNIA",""
"26160","JEROME, ARIZONA",""
"81--2","JUNEAU, ALASKA",""
"81032","JUNEAU, ALASKA",""
"81012","JUNEAU, ALASKA",""
"27261","KEETLEY, UTAH",""
"11222","KELSO, WASHINGTON",""
"11310","KENNEWICK, RICHLAND, OR PROSSER, WASHINGTON",""
"11210","LA CENTER, RIDGEFIELD, WASHOUGAL, OR YACOLT, WASHINGTON",""
"13020","LA HABRA, SEAL BEACH, TUSTIN, SAN CLEMENTE OR PLACENTIA, CALIFORNIA",""
"13130","LAKEPORT, CALIFORNIA",""
"4&221","LANCASTER, WISCONSIN",""
"13530","LEMOORE OR CORCORAN, CALIFORNIA",""
"32604","LITTLE ROCK, ARKANSAS",""
"24342","LIVINGSTON, MONTANA",""
"13563","LODI, CALIFORNIA",""
"13611","LOMPOC, CALIFORNIA",""
"11223","LONGVIEW,  WASHINGTON",""
"13015","LOS ANGELES, CALIFORNIA",""
"13542","MADERA, CALIFORNIA",""
"13560","MANTECA, CALIFORNIA",""
"13520","MARICOPA, SHAFTER OR TEHACHAPI, CALIFORNIA",""
"13372","MARYSVILLE,  CALIFORNIA",""
"25100","MASON, NEVADA",""
"13851","MENLO PARK, HILLSBUROUGH OR SAN CARLOS, CALIFORNIA",""
"13553","MERCED, CALIFORNIA",""
"26242","MESA, ARIZONA",""
"26131","MIAMI, ARIZONA",""
"13831","MILL VALLEY OR SAUSALITO,  CALIFORNIA",""
"24324","MISSOULA, MONTANA",""
"13573","MODESTO, CALIFORNIA",""
"11250","MORTON, NAPAVINE, PE ELL, TOLEDO, WINLOCK, OR VADER,  WASHINGTON",""
"11281","MOUNT VERNON OR SEDRO-WOOLLEY, WASHINGTON","Misspelled as Sedro-Woodley in documentation"
"13152","NAPA, CALIFORNIA ",""
"13&13","NATIONAL CITY, CALIFORNIA",""
"13280","NEVADA CITY OR LOYALTON,  CALIFORNIA",""
"57035","NEW  YORK, NEW YORK",""
"26272","NOGALES, ARIZONA",""
"5-014","NORFOLK, VIRGINIA",""
"11290","NORTH BONNEVILLE OR STEVENSON, WASHINGTON",""
"13911","NORTH SACRAMENTO, CALIFORNIA",""
"13620","OJAI, CALIFORNIA",""
"112-3","OLYMPIA, WASHINGTON",""
"48284","OMAHA, NEBRASKA",""
"11361","OMAK, WASHINGTON",""
"13022","ORANGE, CALIFORNIA",""
"13311","OROVILLE, CALIFORNIA",""
"13622","OXNARD OR SANTA PAULA, CALIFORNIA",""
"13412","PACIFIC GROVE,  CALIFORNIA",""
"13-13","PALO ALTO, CALIFORNIA",""
"11451","PASCO, WASHINGTON",""
"13162","PETALUMA, CALIFORNIA",""
"59025","PHILADELPHIA, PENNSYLVANIA",""
"26244","PHOENIX, ARIZONA",""
"26220","PIMA, SAFFORD OR THATCHER, ARIZONA",""
"13820","PINOLE, HERCULES OR CONCORD, OR WALNUT CREEK, CALIFORNIA",""
"13241","PLACERVILLE, CALIFORNIA",""
"13810","PLEASANTON, CALIFORNIA",""
"23033","POCATELLO, IDAHO",""
"13140","POINT ARENA OR WILLITS, CALIFORNIA",""
"11460","POMEROY, WASHINGTON",""
"11112","PORT ANGELES, WASHINGTON",""
"11240","PORT ORCHARD OR POULSBO, WASHINGTON",""
"11131","PORT TOWNSEND, WASHINGTON",""
"57014","POUGHKEEPSIE, NEW YORK",""
"11490","PRESCOTT OR WAITSBURG, WASHINGTON",""
"26162","PRESCOTT, ARIZONA",""
"11522","PUYALLUP, WASHINGTON",""
"11141","RAYMOND, WASHINGTON",""
"13351","RED BLUFF, CALIFORNIA",""
"132-2","REDDING, CALIFORNIA",""
"13733","REDLANDS OR ONTARIO, CALIFORNIA",""
"11330","REPUBLIC, WASHINGTON","Misspelled as Replublic in documentation"
"13730","RIALTO, CALIFORNIA",""
"13823","RICHMOND, CALIFORNIA",""
"13724","RIVERSIDE, CALIFORNIA",""
"22451","ROCKY FALLS, COLORADO",""
"13292","ROSEVILLE,  CALIFORNIA",""
"27040","ROYAL, UTAH",""
"13914","SACRAMENTO, CALIFORNIA",""
"13413","SALINAS OR MONTEREY, CALIFORNIA",""
"13832","SAN ANSELMO OR SAN RAFAEL, CALIFORNIA",""
"13734","SAN BERNARDINO, CALIFORNIA",""
"13623","SAN BUENAVENTURA, CALIFORNIA",""
"13&14","SAN DIEGO, CALIFORNIA",""
"13844","SAN FRANCISCO, CALIFORNIA",""
"13-14","SAN JOSE, CALIFORNIA",""
"13420","SAN JUAN, CALIFORNIA",""
"13432","SAN LUIS OBISPO, CALIFORNIA",""
"13511","SANGER, SELMA OR REEDLEY CALIFORNIA",""
"13024","SANTA ANA, CALIFORNIA",""
"13614","SANTA BARBARA, CALIFORNIA",""
"13-12","SANTA CLARA, CALIFORNIA",""
"13443","SANTA CRUZ, CALIFORNIA",""
"21253","SANTA FE, NEW MEXICO",""
"13612","SANTA MARIA, CALIFORNIA",""
"13163","SANTA ROSA, CALIFORNIA",""
"11514","SEATTLE, WASHINGTON",""
"11110","SEQUIM, WASHINGTON",""
"23060","SHELLY, IDAHO",""
"11261","SHELTON, WASHINGTON",""
"11201","SNOHOMISH, WASHINGTON",""
"13410","SOLEDAD OR KING CITY, CALIFORNIA",""
"26280","SOMERTON, ARIZONA",""
"13160","SONOMA, SEBASTOPOL OR CLOVERDALE, CALIFORNIA",""
"11140","SOUTH BEND, ILWACO OR LONG BEACH, WASHINGTON",""
"11614","SPOKANE, WASHINGTON",""
"53014","ST. PETERSBURG, FLORIDA",""
"11430","STARBUCK, WASHINGTON",""
"13564","STOCKTON, CALIFORNIA",""
"5-024","SUFFOLK, VIRGINIA",""
"11390","SUNNYSIDE, GRANGER, GRANDVIEW, UNION GAP, NACHES, SHELAH, MOXEE CITY, MABTON, WAPATO, OR ZILLAH, WASHINGTON",""
"13260","SUSANVILLE, CALIFORNIA",""
"11524","TACOMA, WASHINGTON",""
"26210","TOMBSTONE, WILCOX OR BENSON ARIZONA",""
"11391","TOPPENISH, WASHINGTON",""
"13561","TRACY, CALIFORNIA",""
"26254","TUCSON, ARIZONA",""
"13582","TULARE, VISALIA OR POTTERVILLE, CALIFORNIA",""
"132-0","TULELAKE, CALIFORNIA",""
"13571","TURLOCK OR OAKDALE, CALIFORNIA",""
"18413","Undocumented City & State",""
"A3814","Undocumented City & State",""
"B13-1","Undocumented City & State",""
"72--4","Undocumented City in  HONOLULU COUNTY, HAWAII",""
"73--2","Undocumented City in  KAUAI COUNTY, HAWAII",""
"73&&0","Undocumented City in  KAUAI COUNTY, HAWAII",""
"71--3","Undocumented City in HAWAII COUNTY, HAWAII",""
"71--0","Undocumented City in HAWAII COUNTY, HAWAII",""
"71--2","Undocumented City in HAWAII COUNTY, HAWAII",""
"71--1","Undocumented City in HAWAII COUNTY, HAWAII",""
"71--4","Undocumented City in HAWAII COUNTY, HAWAII",""
"71--&","Undocumented City in HAWAII COUNTY, HAWAII",""
"70--0","Undocumented City in HAWAII, UNSPECIFIED COUNTY",""
"70--&","Undocumented City in HAWAII, UNSPECIFIED COUNTY",""
"72--2","Undocumented City in HONOLULU COUNTY, HAWAII",""
"72--1","Undocumented City in HONOLULU COUNTY, HAWAII",""
"72--0","Undocumented City in HONOLULU COUNTY, HAWAII",""
"72--&","Undocumented City in HONOLULU COUNTY, HAWAII",""
"72--5","Undocumented City in HONOLULU COUNTY, HAWAII",""
"73--4","Undocumented City in KAUAI COUNTY, HAWAII",""
"73--3","Undocumented City in KAUAI COUNTY, HAWAII",""
"73--0","Undocumented City in KAUAI COUNTY, HAWAII",""
"73--1","Undocumented City in KAUAI COUNTY, HAWAII",""
"74--4","Undocumented City in MAUI COUNTY, HAWAII",""
"74--2","Undocumented City in MAUI COUNTY, HAWAII",""
"74--0","Undocumented City in MAUI COUNTY, HAWAII",""
"74--&","Undocumented City in MAUI COUNTY, HAWAII",""
"74--1","Undocumented City in MAUI COUNTY, HAWAII",""
"81010","Undocumented City, ALASKA",""
"81020","Undocumented City, ALASKA",""
"81030","Undocumented City, ALASKA",""
"81040","Undocumented City, ALASKA",""
"81&&&","Undocumented City, ALASKA",""
"81033","Undocumented City, ALASKA",""
"13711","Undocumented City, CALIFORNIA",""
"13714","Undocumented City, CALIFORNIA",""
"1371B","Undocumented City, CALIFORNIA",""
"13825","Undocumented City, CALIFORNIA",""
"13841","Undocumented City, CALIFORNIA",""
"13855","Undocumented City, CALIFORNIA",""
"13912","Undocumented City, CALIFORNIA",""
"13913","Undocumented City, CALIFORNIA",""
"13915","Undocumented City, CALIFORNIA",""
"13919","Undocumented City, CALIFORNIA",""
"1391O","Undocumented City, CALIFORNIA",""
"13340","Undocumented City, CALIFORNIA",""
"13415","Undocumented City, CALIFORNIA",""
"13 10","Undocumented City, CALIFORNIA",""
"13017","Undocumented City, CALIFORNIA",""
"1301F","Undocumented City, CALIFORNIA",""
"13143","Undocumented City, CALIFORNIA",""
"13200","Undocumented City, CALIFORNIA",""
"13211","Undocumented City, CALIFORNIA",""
"13214","Undocumented City, CALIFORNIA",""
"13240","Undocumented City, CALIFORNIA",""
"13272","Undocumented City, CALIFORNIA",""
"13313","Undocumented City, CALIFORNIA",""
"13390","Undocumented City, CALIFORNIA",""
"13414","Undocumented City, CALIFORNIA",""
"13440","Undocumented City, CALIFORNIA",""
"135 2","Undocumented City, CALIFORNIA",""
"13513","Undocumented City, CALIFORNIA",""
"13533","Undocumented City, CALIFORNIA",""
"13544","Undocumented City, CALIFORNIA",""
"13569","Undocumented City, CALIFORNIA",""
"13584","Undocumented City, CALIFORNIA",""
"13610","Undocumented City, CALIFORNIA",""
"13650","Undocumented City, CALIFORNIA",""
"57025","Undocumented City, NEW YORK",""
"12511","Undocumented City, OREGON",""
"12514","Undocumented City, OREGON",""
"12512","Undocumented City, OREGON",""
"12430","Undocumented City, OREGON",""
"12362","Undocumented City, OREGON",""
"12360","Undocumented City, OREGON",""
"12240","Undocumented City, OREGON",""
"12191","Undocumented City, OREGON",""
"12190","Undocumented City, OREGON",""
"12524","Undocumented City, OREGON",""
"12523","Undocumented City, OREGON",""
"12521","Undocumented City, OREGON",""
"121&1","Undocumented City, OREGON",""
"121-0","Undocumented City, OREGON",""
"121-1","Undocumented City, OREGON",""
"12101","Undocumented City, OREGON",""
"12112","Undocumented City, OREGON",""
"12120","Undocumented City, OREGON",""
"12123","Undocumented City, OREGON",""
"12130","Undocumented City, OREGON",""
"12140","Undocumented City, OREGON",""
"12141","Undocumented City, OREGON",""
"12153","Undocumented City, OREGON",""
"12160","Undocumented City, OREGON",""
"12170","Undocumented City, OREGON",""
"12180","Undocumented City, OREGON",""
"12184","Undocumented City, OREGON",""
"12243","Undocumented City, OREGON",""
"12320","Undocumented City, OREGON",""
"12510","Undocumented City, OREGON",""
"12520","Undocumented City, OREGON",""
"59014","Undocumented City, PENNSYLVANIA",""
"&&&&&","Undocumented City, UNKNOWN",""
"5-023","Undocumented City, VIRGINIA",""
"112&4","Undocumented City, WASHINGTON",""
"112&3","Undocumented City, WASHINGTON",""
"1100&","Undocumented City, WASHINGTON",""
"11914","Undocumented City, WASHINGTON",""
"11521","Undocumented City, WASHINGTON",""
"11233","Undocumented City, WASHINGTON",""
"11314","Undocumented City, WASHINGTON",""
"11512","Undocumented City, WASHINGTON",""
"11130","Undocumented City, WASHINGTON",""
"13863","VALLEJO, CALIFORNIA",""
"82&&4","VANCOUVER, B.C. CANADA",""
"11213","VANCOUVER, WASHINGTON",""
"11493","WALLA WALLA, WASHINGTON",""
"13442","WATSONVILLE, CALIFORNIA",""
"3800&","WEBSTER, TEXAS",""
"11323","WENATCHEE, WASHINGTON",""
"13370","WHEATLAND, CALIFORNIA",""
"13320","WILLIAMS OR COLUSA, CALIFORNIA",""
"26121","WILLIAMS, ARIZONA",""
"13330","WILLOWS OR ORLAND, CALIFORNIA",""
"26130","WINKELMAN, ARIZONA",""
"26151","WINSLOW, ARIZONA",""
"13580","WOODLAKE, CALIFORNIA",""
"13362","WOODLAND, CALIFORNIA",""
"11394","YAKIMA, WASHINGTON",""
"59013","YORK, PENNSYLVANIA",""
"13341","YUBA CITY, CALIFORNIA",""
"26282","YUMA, ARIZONA",""
